Sub,Crse,Sec,Day,Time,Room,Instructor
BUS,431,03,TR,02:00 pm-03:15 pm,GODDAR 201,"Erwin, C (P)"
BUS,436,01,T,07:00 pm-09:45 pm,COMBLD 109,"Decker, G (P)"
BUS,450,01,MWF,08:00 am-08:50 am,COMBLD 218,"Villanueva, E (P)"
BUS,480,01, ,TBA,TBA,"Pakdil, F (P)"
BUS,480,02, ,TBA,TBA,"Pakdil, F (P)"
BUS,480,03, ,TBA,TBA,"Buck, W (P)"
BUS,480,04, ,TBA,TBA,"Villanueva, E (P)"
BUS,480,05, ,TBA,TBA,"Kane, G (P)"
BUS,480,06, ,TBA,TBA,"Grandhi, S (P)"
BUS,490,01V,M,07:00 pm-08:15 pm,COMBLD 201,"Chatterton, C (P)"
BUS,490,02V,R,08:00 am-09:15 am,COMBLD 201,"Chatterton, C (P)"
BUS,492,01, ,TBA,TBA,"Pakdil, F (P)"
BUS,492,02, ,TBA,TBA,"Grandhi, S (P)"
BIS,205,01,TR,08:00 am-09:15 am,WEBB 307,"Donohue, K (P)"
BIS,205,02,MWF,08:00 am-08:50 am,WEBB 307,"Reay, S (P)"
BIS,205,03,MWF,09:00 am-09:50 am,WEBB 307,"Reay, S (P)"
BIS,205,04,TR,09:30 am-10:45 am,WEBB 307,"Kunene, N (P)"
BIS,205,05,W,07:00 pm-09:45 pm,WEBB 307,"Dexter, R (P)"
BIS,362,01,M,04:00 pm-06:45 pm,WEBB 307,"Albini, E (P)"
BIS,365,01,TR,09:30 am-10:45 am,WEBB 407,"Donohue, K (P)"
BIS,370,01,TR,05:30 pm-06:45 pm,WEBB 307,"Alkhamaiesh, S (P)"
BIS,370,02,TR,07:00 pm-08:15 pm,WEBB 307,"Alkhamaiesh, S (P)"
BIS,373,01,MF,02:00 pm-03:15 pm,WEBB 407,"Citurs, A (P)"
BIS,379,01,M,04:00 pm-06:45 pm,WEBB 407,"Citurs, A (P)"
BIS,442,01,W,04:00 pm-06:45 pm,SCIENC 115,"Schaller, J (P)"
BIS,447,01,T,07:00 pm-09:45 pm,WEBB 407,"Johnson, D (P)"
BIS,447,02,TR,11:00 am-12:15 pm,WEBB 407,"Citurs, A (P)"
BIS,449,01,TR,12:30 pm-01:45 pm,WEBB 407,"Kunene, N (P)"
BIS,449,02,TR,02:00 pm-03:15 pm,WEBB 407,"Kunene, N (P)"
BIS,461,01,MW,07:00 pm-08:15 pm,WEBB 407,"Citurs, A (P)"
BIS,480,01, ,TBA,TBA,"Citurs, A (P)"
BIS,490,01,M,07:00 pm-08:15 pm,WEBB 307,TBA
CAS,201,E25, ,TBA,TBA,"Couture-Palmerino, P (P)"
CAS,222,E25, ,TBA,ONLINE,"Couture-Palmerino, P (P)"
CHE,211,01,MWF,09:00 am-09:50 am,SCIENC 117,"He, K (P)"
CHE,211,02,MWF,10:00 am-10:50 am,SCIENC 117,"He, K (P)"
CHE,211,03,MWF,01:00 pm-01:50 pm,SCIENC 117,"He, K (P)"
CHE,211,04,MW,04:00 pm-05:15 pm,SCIENC 117,"Islam, S (P)"
CHE,211,05,MW,05:30 pm-06:45 pm,SCIENC 117,"Islam, S (P)"
CHE,213,01,M,11:00 am-01:50 pm,SCIENC 440,"Parcinski, A (P)"
CHE,213,02,M,02:00 pm-04:50 pm,SCIENC 440,"Parcinski, A (P)"
CHE,213,03,T,04:00 pm-06:50 pm,SCIENC 440,"Ahmadi, S (P)"
CHE,213,04,T,07:00 pm-09:50 pm,SCIENC 440,"Ahmadi, S (P)"
CHE,213,05,W,04:00 pm-06:50 pm,SCIENC 440,"Swanson, S (P)"
CHE,213,06,R,11:00 am-01:50 pm,SCIENC 440,"Chirakul-Madden, P (P)"
CHE,213,07,R,02:00 pm-04:50 pm,SCIENC 440,"Chirakul-Madden, P (P)"
CHE,213,08,M,07:00 pm-09:50 pm,SCIENC 440,"Koza, D (P)"
CHE,213,09,W,07:00 pm-09:50 pm,SCIENC 440,"Swanson, S (P)"
CHE,217,01,MWF,10:00 am-10:50 am,SCIENC 104,"Koza, D (P)"
CHE,217,01A,T,07:00 pm-09:50 pm,SCIENC 441,"Candler, J (P)"
CHE,217,01B,M,07:00 pm-09:50 pm,SCIENC 441,"Candler, J (P)"
CHE,318,01,MWF,01:00 pm-01:50 pm,SCIENC 432,"Toedt, J (P)"
CHE,319,01,T,02:00 pm-04:50 pm,SCIENC 434,"Toedt, J (P)"
CHE,380,01, ,TBA,TBA,TBA
CHE,425,01,MWF,12:00 pm-12:50 pm,SCIENC 231,"Islam, S (P)"
CHE,425,01A,F,02:00 pm-05:50 pm,SCIENC 434,"Islam, S (P)"
CHE,480,01, ,TBA,TBA,"Toedt, J (P)"
CHE,480,02, ,TBA,TBA,"He, K (P)"
CHE,480,03, ,TBA,TBA,"He, K (P)"
CHE,490,01, ,TBA,TBA,"Toedt, J (P)"
CHE,492,01, ,TBA,TBA,"Islam, S (P)"
COM,100,02,MWF,10:00 am-10:50 am,COMBLD 107,"Murphy, J (P)"
COM,101,01,MWF,11:00 am-11:50 am,FAIC 115,"Curtis, S (P)"
COM,120,01,TR,09:30 am-10:45 am,COMBLD 114A,"Utterback, A (P)"
COM,120,01,TR,09:30 am-10:45 am,COMBLD 114D,"Utterback, A (P)"
COM,120,01,TR,09:30 am-10:45 am,COMBLD 114B,"Utterback, A (P)"
COM,190,01, ,TBA,TBA,TBA
COM,220,01X,T,07:00 pm-09:45 pm,COMBLD 114A,"Ammari, M (P)"
COM,220,01X,T,07:00 pm-09:45 pm,COMBLD 114D,"Ammari, M (P)"
